workflow_id,owner,round,model,model_version,session_id,overall,accuracy,efficiency,writing_quality,instruction_following,collaboration,citation_quality,gui_action_correctness,duration_minutes_reported,steering_count,final_rank,status,evidence_file
WF-144,Kashyap,1,A,"gpt-5.6-cyan / Extra High",019f8ef0-5b12-72d3-b735-7497a73d19d6,4,4,6,5,5,5,5,6,30,0,4,complete,Kashyap/WF-144/round-1/model-A.md
WF-144,Kashyap,1,B,"gpt-5.6-rose / High",019f8ec9-e94d-76d1-81a7-6b51214fa47f,4,5,5,5,6,4,6,6,20,5,2,complete,Kashyap/WF-144/round-1/model-B.md
WF-144,Kashyap,1,C,"gpt-5.6-cyan / High",019f8e86-cde3-7883-aa8c-4e6e3d587e35,4,5,4,5,5,4,6,3,40,2,3,complete,Kashyap/WF-144/round-1/model-C.md
WF-144,Kashyap,1,D,"gpt-5.6-rose / Extra High",019f9294-6935-76c2-9717-7f6d6e90e2eb,5,6,4,4,6,4,6,3,25,1,1,complete,Kashyap/WF-144/round-1/model-D.md
WF-158,Saurav,1,A,"gpt-5.6-cyan / Extra High","","","","","","","","","","","","",incomplete,Saurav/WF-158/round-1/model-A.md
WF-158,Saurav,1,B,"gpt-5.6-rose / High","","","","","","","","","","","","",incomplete,Saurav/WF-158/round-1/model-B.md
WF-158,Saurav,1,C,"gpt-5.6-cyan / High","","","","","","","","","","","","",incomplete,Saurav/WF-158/round-1/model-C.md
WF-158,Saurav,1,D,"gpt-5.6-rose / Extra High","","","","","","","","","","","","",incomplete,Saurav/WF-158/round-1/model-D.md
WF-162,Saurav,1,A,"gpt-5.6-cyan / Extra High",019fa8cd-b1d8-71a1-ac03-81b178da4821,3,4,4,4,3,3,3,4,35,3,4,complete,Saurav/WF-162/round-1/model-A.md
WF-162,Saurav,1,B,"gpt-5.6-rose / High",019fa8a5-1966-7452-a335-1dec7a8008bb,4,5,3,5,4,4,4,4,32,2,1,complete,Saurav/WF-162/round-1/model-B.md
WF-162,Saurav,1,C,"gpt-5.6-cyan / High",019fa86e-0aee-72e0-a389-64dbc5317cf4,3,3,3,4,3,3,3,4,39,2,3,complete,Saurav/WF-162/round-1/model-C.md
WF-162,Saurav,1,D,"gpt-5.6-rose / Extra High",019fac3e-4fea-7aa0-b329-677f1d5009d4,3,4,5,4,3,3,4,5,32,1,2,complete,Saurav/WF-162/round-1/model-D.md
WF-187,Saurav,1,A,"gpt-5.6-cyan / Extra High",019fa800-fb72-7583-ab70-e4f18861f9f3,4,5,4,4,4,4,5,N/A,18,0,3,complete,Saurav/WF-187/round-1/model-A.md
WF-187,Saurav,1,B,"gpt-5.6-rose / High",019fa845-311a-7a90-9207-e500e4471080,5,6,4,6,5,5,6,4,10,1,1,complete,Saurav/WF-187/round-1/model-B.md
WF-187,Saurav,1,C,"gpt-5.6-cyan / High",019fa756-a761-7831-94e8-f6aaec8f7052,3,5,5,5,3,3,5,4,15,0,4,complete,Saurav/WF-187/round-1/model-C.md
WF-187,Saurav,1,D,"gpt-5.6-rose / Extra High",019fa832-1c3f-7972-bd61-1b05ce8d888a,4,5,4,5,5,4,5,4,12,1,2,complete,Saurav/WF-187/round-1/model-D.md
WF-188,Saurav,1,A,"gpt-5.6-cyan / Extra High",019fa76f-7c97-7d01-a277-8c57775637d6,5,5,4,5,5,6,6,4,21,0,1,complete,Saurav/WF-188/round-1/model-A.md
WF-188,Saurav,1,B,"gpt-5.6-rose / High",019fa757-ccf3-7ed1-85a1-b62ad1f96a76,4,6,5,5,4,4,5,6,9,1,4,complete,Saurav/WF-188/round-1/model-B.md
WF-188,Saurav,1,C,"gpt-5.6-cyan / High",019fa740-6a66-7fd1-af26-9ce8367859fe,4,5,5,5,5,4,5,5,18,1,3,complete,Saurav/WF-188/round-1/model-C.md
WF-188,Saurav,1,D,"gpt-5.6-rose / Extra High",019fa789-a027-7241-82a8-a534c577bf7d,5,6,6,5,6,5,6,6,12,1,2,complete,Saurav/WF-188/round-1/model-D.md
