Query ID,Query Text,Ground Truth Chunk(s),Disputed?,BM25-only Hit?,Dense-only Hit?,Category,Hybrid Hit at Optimal α?,Corpus Gap?
Q030,how can remaining capacity drop sooner compared with the forecast?,D026,No,Miss,Hit,semantic,Hit,No
Q031,"after a signing key change during an outage, should I rotate the secret or replay missed webhooks?",disputed: D040 or D041,Yes,Hit,Miss,exact-match,Hit,No
Q032,does the mobile app support offline ticket drafting?,no answer in corpus,No,Miss,Miss,no-coverage,Miss,Yes
Q033,what is retained when we archive things versus delete a sandbox?,"D046, D047",No,Miss,Miss,no-coverage,Miss,No
Q034,should a survey be suppressed when a message was first marked as spam and later restored?,disputed: D030 or D034,Yes,Hit,Hit,mixed,Hit,No
Q035,what comes with SKU-ENT-71?,D003,No,Hit,Hit,mixed,Hit,No
Q036,"429 from api, is the bucket per token?",D008,No,Hit,Miss,exact-match,Hit,No
Q037,which escalation rule wins if several match?,D035,No,Hit,Miss,exact-match,Hit,No
Q038,why can't the Slack app read a private channel?,D056,No,Hit,Hit,mixed,Hit,No
Q039,what stays for audit after masking private details from imported messages?,D028,No,Hit,Hit,mixed,Hit,No
Q040,same phone suggested combining customers after a workspace sync,D053,No,Miss,Miss,no-coverage,Miss,No
Q041,can I test a rule without changing real tickets?,D059,No,Hit,Miss,exact-match,Hit,No
Q042,exports and imports both paused during changes; where are those explained?,"D042, D043",No,Hit,Miss,exact-match,Miss,No
Q043,need to retry a stored delivery without creating a new event,D040,No,Hit,Miss,exact-match,Hit,No
Q044,can we choose our own encryption key for stored messages?,no answer in corpus,No,Miss,Miss,no-coverage,Miss,Yes
Q045,why does a French article fall back to English?,D061,No,Hit,Miss,exact-match,Hit,No
Q046,where can I check Prism renewal ledger balance and correction status?,"D081, D088",No,Hit,Hit,mixed,Hit,No
Q047,receiver is fixed now; can we replay the old deliveries?,D040,No,Hit,Miss,exact-match,Hit,No
Q048,where do I set session_idle_minutes?,D004,No,Hit,Hit,mixed,Hit,No
Q049,why is our Atlas relay queue still paused after tenant recovery?,D065,No,Miss,Miss,mixed,Hit,No
Q050,why were our usual follow-up actions silent while we loaded many customers?,D025,No,Miss,Hit,semantic,Hit,No
Q051,why was a duplicate customer suggested with the same phone?,D053,No,Hit,Miss,exact-match,Hit,No
Q052,why is the Prism renewal ledger correction still locked?,D080,No,Miss,Miss,mixed,Hit,No
Q053,"after masking private details, what evidence is preserved for reviewers?",D028,No,Miss,Hit,semantic,Hit,No
Q054,why did the solved ticket open again after the customer answered?,D033,No,Hit,Miss,exact-match,Hit,No
Q055,where can I review Beacon mailbox owner transfer activity?,"D096, D104",No,Hit,Hit,mixed,Hit,No
Q056,what stays for audit after masking private details from ticket messages?,D028,No,Miss,Hit,semantic,Hit,No
Q057,can LumenDesk translate live chat in real time for agents?,no answer in corpus,No,Miss,Miss,no-coverage,Miss,Yes
Q058,can voice calls be transcribed into the ticket automatically?,no answer in corpus,No,Miss,Miss,no-coverage,Miss,Yes
Q059,where can I audit Canvas mobile draft conflict sync activity?,"D147, D150",No,Hit,Hit,mixed,Hit,No
Q060,I need to update invoice legal details and who gets billing emails,"D038, D039",No,Hit,Miss,exact-match,Hit,No
Q061,why did matching phone details suggest combining customers in this account?,D053,No,Miss,Miss,no-coverage,Miss,No
Q062,does RelayBox R4 support suppression sync?,D006,No,Hit,Miss,exact-match,Hit,No
Q063,what does BILL-TAX-ID change on invoices?,D011,No,Hit,Hit,mixed,Hit,No
Q064,why is the Beacon mailbox owner transfer still pending?,D095,No,Miss,Miss,mixed,Hit,No
Q065,does our Atlas relay show paused tenant checks after recovery?,"D067, D078",No,Hit,Hit,mixed,Hit,No
Q066,automation save says HD-5022 after bulk edit,D002,No,Hit,Hit,mixed,Hit,No
Q067,conditional form child field is not required yet,D058,No,Hit,Miss,exact-match,Hit,No
Q068,why is the Cedar sandbox archive restore still blocked?,D125,No,Miss,Miss,mixed,Hit,No
Q069,will a customer reply bring back a ticket if the previous message was internal?,disputed: D020 or D033,Yes,Hit,Miss,exact-match,Hit,No
Q070,why can't staff blindly use the machine-written answer?,D019,No,Miss,Hit,semantic,Hit,No
Q071,we need the billing date changed next cycle; what happens?,D031,No,Hit,Miss,exact-match,Hit,No
Q072,which refund guidance is current for an annual renewal?,"D048, D049",No,Hit,Miss,exact-match,Hit,No
Q073,why are newly imported cases absent from lookup results for a while?,D029,No,Miss,Hit,semantic,Hit,No
Q074,what decides the winner when coworkers submit conflicting changes together?,D023,No,Miss,Hit,semantic,Hit,No
Q075,how do merged customer profiles keep history?,D052,No,Hit,Miss,exact-match,Hit,No
Q076,"after a webhook outage and secret change, what are the two separate steps?","D040, D041",No,Hit,Miss,exact-match,Hit,No
Q077,"uploads fail with HD-4019, what should I clear?",D001,No,Hit,Hit,mixed,Hit,No
Q078,DKIM check fails even though I added DNS,D055,No,Hit,Miss,exact-match,Miss,No
Q079,why did Harbor webhook replay stop after signature rotation?,D110,No,Miss,Miss,mixed,Hit,No
Q080,how does proration work when the invoice day moves?,D031,No,Hit,Miss,exact-match,Hit,No
Q081,"if we shift the subscription anniversary, do old bills remain?",D031,No,Miss,Miss,no-coverage,Miss,No
Q082,can finance move our renewal day without losing invoices?,D031,No,Hit,Miss,exact-match,Miss,No
Q083,does correcting a mistaken junk decision repair earlier classifications too?,D030,No,Hit,Hit,mixed,Hit,No
Q084,does archiving work stop automations but keep records searchable?,disputed: D032 or D047,Yes,Hit,Hit,mixed,Hit,No
