Query ID,Query Text,Ground Truth Chunk(s),Disputed?,BM25-only Hit?,Dense-only Hit?,Category,Hybrid Hit at Optimal α?,Corpus Gap?
Q056,what stays for audit after masking private details from ticket messages?,D028,no,no,yes,semantic,yes,no
Q057,can LumenDesk translate live chat in real time for agents?,no answer in corpus,no,no,no,no-coverage,no,yes
Q058,can voice calls be transcribed into the ticket automatically?,no answer in corpus,no,no,no,no-coverage,no,yes
Q059,where can I audit Canvas mobile draft conflict sync activity?,"D147, D150",no,yes,yes,mixed,yes,no
Q060,I need to update invoice legal details and who gets billing emails,"D038, D039",no,yes,no,exact-match,yes,no
Q061,why did matching phone details suggest combining customers in this account?,D053,no,no,no,no-coverage,no,no
Q062,does RelayBox R4 support suppression sync?,D006,no,yes,no,exact-match,yes,no
Q063,what does BILL-TAX-ID change on invoices?,D011,no,yes,yes,mixed,yes,no
Q064,why is the Beacon mailbox owner transfer still pending?,D095,no,no,no,mixed,yes,no
Q065,does our Atlas relay show paused tenant checks after recovery?,"D067, D078",no,yes,yes,mixed,yes,no
Q066,automation save says HD-5022 after bulk edit,D002,no,yes,yes,mixed,yes,no
Q067,conditional form child field is not required yet,D058,no,yes,no,exact-match,yes,no
Q068,why is the Cedar sandbox archive restore still blocked?,D125,no,no,no,mixed,yes,no
Q069,will a customer reply bring back a ticket if the previous message was internal?,disputed: D020 or D033,yes,yes,no,exact-match,yes,no
Q070,why can't staff blindly use the machine-written answer?,D019,no,no,yes,semantic,yes,no
Q071,we need the billing date changed next cycle; what happens?,D031,no,yes,no,exact-match,yes,no
Q072,which refund guidance is current for an annual renewal?,"D048, D049",no,yes,no,exact-match,yes,no
Q073,why are newly imported cases absent from lookup results for a while?,D029,no,no,yes,semantic,yes,no
Q074,what decides the winner when coworkers submit conflicting changes together?,D023,no,no,yes,semantic,yes,no
Q075,how do merged customer profiles keep history?,D052,no,yes,no,exact-match,yes,no
Q076,"after a webhook outage and secret change, what are the two separate steps?","D040, D041",no,yes,no,exact-match,yes,no
Q077,"uploads fail with HD-4019, what should I clear?",D001,no,yes,yes,mixed,yes,no
Q078,DKIM check fails even though I added DNS,D055,no,yes,no,exact-match,no,no
Q079,why did Harbor webhook replay stop after signature rotation?,D110,no,no,no,mixed,yes,no
Q080,how does proration work when the invoice day moves?,D031,no,yes,no,exact-match,yes,no
Q081,"if we shift the subscription anniversary, do old bills remain?",D031,no,no,no,no-coverage,no,no
Q082,can finance move our renewal day without losing invoices?,D031,no,yes,no,exact-match,no,no
Q083,does correcting a mistaken junk decision repair earlier classifications too?,D030,no,yes,yes,mixed,yes,no
Q084,does archiving work stop automations but keep records searchable?,disputed: D032 or D047,yes,yes,yes,mixed,yes,no
